dataset,class_key,support,recall,precision,f1
atrw,0,2.0,1.0,1.0,1.0
atrw,1,2.0,1.0,1.0,1.0
atrw,10,7.0,1.0,1.0,1.0
atrw,100,4.0,1.0,1.0,1.0
atrw,102,6.0,1.0,1.0,1.0
atrw,103,6.0,1.0,1.0,1.0
atrw,105,7.0,1.0,1.0,1.0
atrw,106,3.0,1.0,1.0,1.0
atrw,108,3.0,1.0,1.0,1.0
atrw,109,2.0,1.0,1.0,1.0
atrw,111,10.0,1.0,1.0,1.0
atrw,112,6.0,1.0,1.0,1.0
atrw,114,3.0,1.0,1.0,1.0
atrw,115,2.0,1.0,1.0,1.0
atrw,117,2.0,1.0,1.0,1.0
atrw,118,4.0,1.0,1.0,1.0
atrw,12,2.0,1.0,1.0,1.0
atrw,120,5.0,1.0,1.0,1.0
atrw,121,5.0,1.0,1.0,1.0
atrw,123,4.0,1.0,1.0,1.0
atrw,124,2.0,1.0,1.0,1.0
atrw,126,2.0,1.0,1.0,1.0
atrw,127,5.0,1.0,1.0,1.0
atrw,129,2.0,1.0,1.0,1.0
atrw,13,3.0,1.0,1.0,1.0
atrw,130,2.0,1.0,1.0,1.0
atrw,132,2.0,1.0,1.0,1.0
atrw,133,6.0,0.8333333333333334,1.0,0.9090909090909091
atrw,135,16.0,0.8125,0.7222222222222222,0.7647058823529411
atrw,136,8.0,1.0,0.8888888888888888,0.9411764705882353
atrw,138,9.0,0.4444444444444444,0.5,0.47058823529411764
atrw,139,2.0,0.5,1.0,0.6666666666666666
atrw,141,5.0,1.0,0.7142857142857143,0.8333333333333334
atrw,142,3.0,0.3333333333333333,0.5,0.4
atrw,144,10.0,0.9,1.0,0.9473684210526315
atrw,145,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
atrw,147,7.0,1.0,1.0,1.0
atrw,148,2.0,1.0,1.0,1.0
atrw,15,6.0,1.0,0.75,0.8571428571428571
atrw,150,4.0,1.0,1.0,1.0
atrw,151,2.0,1.0,1.0,1.0
atrw,153,20.0,1.0,1.0,1.0
atrw,154,10.0,1.0,1.0,1.0
atrw,156,33.0,0.8787878787878788,0.90625,0.8923076923076924
atrw,157,26.0,0.8461538461538461,0.8148148148148148,0.8301886792452831
atrw,159,45.0,0.9333333333333333,0.9767441860465116,0.9545454545454546
atrw,16,9.0,0.7777777777777778,1.0,0.875
atrw,160,19.0,1.0,1.0,1.0
atrw,162,50.0,0.9,0.8823529411764706,0.8910891089108911
atrw,163,28.0,0.8928571428571429,0.8620689655172413,0.8771929824561403
atrw,165,15.0,1.0,1.0,1.0
atrw,166,32.0,1.0,1.0,1.0
atrw,168,6.0,1.0,1.0,1.0
atrw,169,11.0,1.0,1.0,1.0
