Dataset,Remove Background,Use Mantiuk,Method,Use Fisher,Use Global Embedding,Embedding Model,count_local_evidence,num_vertices,num_neighbors,count_proposal_mode,count_local_mu,count_shortlist_B,count_mix_alpha,count_cal_pairs,count_cal_shortlist,count_cal_negs_per_query,Runs Requested,Runs Succeeded,Runs Failed,Last Log Path,Status,Num Images,Ground Truth,Fisher Method,Local Feature Method,GV Matcher,Proposal Mode,Local Evidence,Local µ,Shortlist B,Mix α,Calibration Method,Cal Pairs,Cal Shortlist,Cal Negs/Query,Skip Calibration,Num Vertices,Num Neighbors,Label Error Rate,Oracle Calls,Unique Oracle Pairs,Local Attempts,Local Cache Hits,Result,Std Error,CI Low (95%),CI High (95%),Runtime (minutes),Cal Pos,Cal Neg,Cal Pos Rate,Dataset Type,Estimate Mean,Estimate Std,Std Error Mean,Abs Error,Rel Error,CI Coverage (runs),Search Mode,Trial,Study
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,inliers,381,68,calibrated,0.5118273996694523,376,0.5187936056313462,3676,488,427,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0000_796df5ff_run00_seed0_20260207_185412.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,150.0,0.0,250.0,20.0,0.0,5000.0,4759.0,21301.0,3699.0,29.19,5.6222,18.17,40.21,80.39,702.0,298.0,0.702,WildlifeReID10k,29.19,0.0,5.6222,17.19,1.4325,0.0,optuna,0,count_amvrakikosturtles_20260207_185412
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,conf_matches,370,95,calibrated,0.33551802909894346,180,0.31010919872016285,3498,423,524,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0001_88c15f71_run00_seed1_20260207_192210.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,250.0,0.0,250.0,20.0,0.0,5000.0,4768.0,21292.0,3708.0,45.13,10.9362,23.69,66.56,9.04,470.0,267.0,0.6377204884667571,WildlifeReID10k,45.13,0.0,10.9362,33.13,2.7608333333333337,0.0,optuna,1,count_amvrakikosturtles_20260207_185412
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,conf_matches,338,85,calibrated,0.3591372129344666,374,0.3716766437045232,3834,333,433,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0002_491801bc_run00_seed2_20260207_193558.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,350.0,0.0,250.0,20.0,0.0,5000.0,4764.0,21452.0,3548.0,36.47,7.8802,21.02,51.91,8.98,346.0,193.0,0.6419294990723562,WildlifeReID10k,36.47,0.0,7.8802,24.47,2.0391666666666666,0.0,optuna,2,count_amvrakikosturtles_20260207_185412
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,inliers,337,70,calibrated,0.30939490021817756,366,0.6060478613612107,2851,481,487,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0003_4507b32b_run00_seed3_20260207_194816.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,150.0,0.0,250.0,20.0,0.0,5000.0,4759.0,21301.0,3699.0,29.19,5.6222,18.17,40.21,80.39,702.0,298.0,0.702,WildlifeReID10k,29.19,0.0,5.6222,17.19,1.4325,0.0,optuna,3,count_amvrakikosturtles_20260207_185412
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,inliers,409,34,calibrated,0.6333833577228338,385,0.40519128053692044,1386,260,423,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0004_e78574da_run00_seed4_20260207_195436.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,250.0,0.0,250.0,20.0,0.0,5000.0,4768.0,21292.0,3708.0,45.13,10.9362,23.69,66.56,9.04,470.0,267.0,0.6377204884667571,WildlifeReID10k,45.13,0.0,10.9362,33.13,2.7608333333333337,0.0,optuna,4,count_amvrakikosturtles_20260207_185412
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,conf_matches,497,37,calibrated,0.40443837804741734,206,0.6265541627326991,1760,313,399,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0005_bfe5cc8f_run00_seed5_20260207_200053.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,350.0,0.0,250.0,20.0,0.0,5000.0,4764.0,21452.0,3548.0,36.47,7.8802,21.02,51.91,8.98,346.0,193.0,0.6419294990723562,WildlifeReID10k,36.47,0.0,7.8802,24.47,2.0391666666666666,0.0,optuna,5,count_amvrakikosturtles_20260207_185412
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,conf_matches,397,39,calibrated,0.39829118084002674,279,0.7104966149239675,1291,444,369,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0006_d9f3abb8_run00_seed6_20260207_200720.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,150.0,0.0,250.0,20.0,0.0,5000.0,4759.0,21301.0,3699.0,29.19,5.6222,18.17,40.21,80.39,702.0,298.0,0.702,WildlifeReID10k,29.19,0.0,5.6222,17.19,1.4325,0.0,optuna,6,count_amvrakikosturtles_20260207_185412
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,conf_matches,494,72,calibrated,0.6696317896991508,163,0.4414034812882048,1360,253,373,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0007_f84d0117_run00_seed7_20260207_201342.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,250.0,0.0,250.0,20.0,0.0,5000.0,4768.0,21292.0,3708.0,45.13,10.9362,23.69,66.56,9.04,470.0,267.0,0.6377204884667571,WildlifeReID10k,45.13,0.0,10.9362,33.13,2.7608333333333337,0.0,optuna,7,count_amvrakikosturtles_20260207_185412
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,inliers,219,79,calibrated,0.5833007271032875,243,0.5616240267333499,1281,352,536,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0008_749be71a_run00_seed8_20260207_201938.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,350.0,0.0,250.0,20.0,0.0,5000.0,4764.0,21452.0,3548.0,36.47,7.8802,21.02,51.91,8.98,346.0,193.0,0.6419294990723562,WildlifeReID10k,36.47,0.0,7.8802,24.47,2.0391666666666666,0.0,optuna,8,count_amvrakikosturtles_20260207_185412
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,inliers,239,80,calibrated,0.44470304647360054,214,0.5932564674050416,1060,440,350,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0009_bc5bdcd6_run00_seed9_20260207_202534.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,150.0,0.0,250.0,20.0,0.0,5000.0,4759.0,21301.0,3699.0,29.19,5.6222,18.17,40.21,80.39,702.0,298.0,0.702,WildlifeReID10k,29.19,0.0,5.6222,17.19,1.4325,0.0,optuna,9,count_amvrakikosturtles_20260207_185412
