dataset,match_mode,path_suffix_parts,match_token,local_split,local_path,local_identity,local_image_id,local_source_csv,megadescriptor_train_path,megadescriptor_train_identity,megadescriptor_train_image_id,megadescriptor_source_csv
atrw,suffix,4,atrw/atrw_detection_test/test/0014_733eed38bb8d9635.jpg,test,images/ATRW/atrw_detection_test/test/0014_733eed38bb8d9635.jpg,ATRW_262,5272,/home/mm-workstation/re-id/Animal-Re-Identification---MSc-Project/data/ATRW/processed_metadata.csv,ATRW/atrw_detection_test/test/0014_733eed38bb8d9635.jpg,ATRW_262,733eed38bb8d9635,/home/mm-workstation/re-id/Animal-Re-Identification---MSc-Project/data/external/megadescriptor/combined_all.csv
atrw,suffix,4,atrw/atrw_detection_test/test/0063_73d14fb963c2ad66.jpg,test,images/ATRW/atrw_detection_test/test/0063_73d14fb963c2ad66.jpg,ATRW_192,5286,/home/mm-workstation/re-id/Animal-Re-Identification---MSc-Project/data/ATRW/processed_metadata.csv,ATRW/atrw_detection_test/test/0063_73d14fb963c2ad66.jpg,ATRW_192,73d14fb963c2ad66,/home/mm-workstation/re-id/Animal-Re-Identification---MSc-Project/data/external/megadescriptor/combined_all.csv
atrw,suffix,4,atrw/atrw_detection_test/test/0065_ad4123c8c20e3915.jpg,test,images/ATRW/atrw_detection_test/test/0065_ad4123c8c20e3915.jpg,ATRW_133,6541,/home/mm-workstation/re-id/Animal-Re-Identification---MSc-Project/data/ATRW/processed_metadata.csv,ATRW/atrw_detection_test/test/0065_ad4123c8c20e3915.jpg,ATRW_133,ad4123c8c20e3915,/home/mm-workstation/re-id/Animal-Re-Identification---MSc-Project/data/external/megadescriptor/combined_all.csv
atrw,suffix,4,atrw/atrw_detection_test/test/0117_595dd03beabce1a9.jpg,test,images/ATRW/atrw_detection_test/test/0117_595dd03beabce1a9.jpg,ATRW_270,4771,/home/mm-workstation/re-id/Animal-Re-Identification---MSc-Project/data/ATRW/processed_metadata.csv,ATRW/atrw_detection_test/test/0117_595dd03beabce1a9.jpg,ATRW_270,595dd03beabce1a9,/home/mm-workstation/re-id/Animal-Re-Identification---MSc-Project/data/external/megadescriptor/combined_all.csv
atrw,suffix,4,atrw/atrw_detection_test/test/0144_db238c54f8566db3.jpg,test,images/ATRW/atrw_detection_test/test/0144_db238c54f8566db3.jpg,ATRW_73,7471,/home/mm-workstation/re-id/Animal-Re-Identification---MSc-Project/data/ATRW/processed_metadata.csv,ATRW/atrw_detection_test/test/0144_db238c54f8566db3.jpg,ATRW_73,db238c54f8566db3,/home/mm-workstation/re-id/Animal-Re-Identification---MSc-Project/data/external/megadescriptor/combined_all.csv
atrw,suffix,4,atrw/atrw_detection_test/test/0151_5626987b73139837.jpg,test,images/ATRW/atrw_detection_test/test/0151_5626987b73139837.jpg,ATRW_270,4709,/home/mm-workstation/re-id/Animal-Re-Identification---MSc-Project/data/ATRW/processed_metadata.csv,ATRW/atrw_detection_test/test/0151_5626987b73139837.jpg,ATRW_270,5626987b73139837,/home/mm-workstation/re-id/Animal-Re-Identification---MSc-Project/data/external/megadescriptor/combined_all.csv
atrw,suffix,4,atrw/atrw_detection_test/test/0156_fd110e1c12e682ed.jpg,test,images/ATRW/atrw_detection_test/test/0156_fd110e1c12e682ed.jpg,ATRW_103,8217,/home/mm-workstation/re-id/Animal-Re-Identification---MSc-Project/data/ATRW/processed_metadata.csv,ATRW/atrw_detection_test/test/0156_fd110e1c12e682ed.jpg,ATRW_103,fd110e1c12e682ed,/home/mm-workstation/re-id/Animal-Re-Identification---MSc-Project/data/external/megadescriptor/combined_all.csv
atrw,suffix,4,atrw/atrw_detection_test/test/0161_17be804844976028.jpg,test,images/ATRW/atrw_detection_test/test/0161_17be804844976028.jpg,ATRW_118,3372,/home/mm-workstation/re-id/Animal-Re-Identification---MSc-Project/data/ATRW/processed_metadata.csv,ATRW/atrw_detection_test/test/0161_17be804844976028.jpg,ATRW_118,17be804844976028,/home/mm-workstation/re-id/Animal-Re-Identification---MSc-Project/data/external/megadescriptor/combined_all.csv
atrw,suffix,4,atrw/atrw_detection_test/test/0178_e24e265085220cbe.jpg,test,images/ATRW/atrw_detection_test/test/0178_e24e265085220cbe.jpg,ATRW_163,7629,/home/mm-workstation/re-id/Animal-Re-Identification---MSc-Project/data/ATRW/processed_metadata.csv,ATRW/atrw_detection_test/test/0178_e24e265085220cbe.jpg,ATRW_163,e24e265085220cbe,/home/mm-workstation/re-id/Animal-Re-Identification---MSc-Project/data/external/megadescriptor/combined_all.csv
atrw,suffix,4,atrw/atrw_detection_test/test/0196_304ea3cd14d5f850.jpg,test,images/ATRW/atrw_detection_test/test/0196_304ea3cd14d5f850.jpg,ATRW_36,3905,/home/mm-workstation/re-id/Animal-Re-Identification---MSc-Project/data/ATRW/processed_metadata.csv,ATRW/atrw_detection_test/test/0196_304ea3cd14d5f850.jpg,ATRW_36,304ea3cd14d5f850,/home/mm-workstation/re-id/Animal-Re-Identification---MSc-Project/data/external/megadescriptor/combined_all.csv
